channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Comedy,US,"Oct 9th, 2006",$13.7K - $218.7K,$164K - $2.6M,A-,-168,24017,13281918,3304,6781290834,18,54670500,CollegeHumor
Comedy,ES,"Feb 23rd, 2012",$10.5K - $167.6K,$125.7K - $2M,A-,1,352100,3129267,518,400107992,19,41906400,CILIO
Comedy,,"Jan 24th, 2011",$13.9K - $221.7K,$166.3K - $2.7M,A-,-1,325990,8425426,198,1307654532,-4,55423800,Kaykai Salaider
Comedy,RU,"Apr 23rd, 2015",$21K - $336.1K,$252.1K - $4M,A-,-13,6905,262677,58,84452221,-195,84024900,CheGevarov
Comedy,,"Aug 25th, 2016",$13.6K - $218.3K,$163.7K - $2.6M,A-,37,111104,1349941,374,938280972,15,54565500,Yong Ye
Comedy,US,"Aug 30th, 2014",$18.2K - $291.1K,$218.3K - $3.5M,A-,-33,341510,10000428,107,1723061096,-29,72772800,TheOdd1sOut
Comedy,RU,"Nov 26th, 2005",$14.4K - $229.7K,$172.3K - $2.8M,A-,-1,58436,4124234,7493,3120261091,12,57425400,Официальный канал КВН
Comedy,US,"Nov 20th, 2011",$13.4K - $214K,$160.5K - $2.6M,A-,8,317397,6083382,533,1005985613,-8,53500200,Rebecca Zamolo
Comedy,RU,"Jan 22nd, 2015",$15.1K - $241.2K,$180.9K - $2.9M,A-,93,148022,1122544,6311,459325709,132,60289500,Россия 1
Comedy,,"Apr 28th, 2013",$14.8K - $237.4K,$178K - $2.8M,A-,26,226162,2168768,74,491580135,176,59340300,Canal Rodrigo Mota TV
Comedy,GB,"Feb 5th, 2016",$11.9K - $190.5K,$142.8K - $2.3M,A-,523,63389,88894,248,63697717,658,47612700,Darwin
